,1,2,3,4,5,6,7,8,9,10
1.0,-1.844,-2.21,-2.465,-2.656,-2.801,-2.914,-3.004,-3.075,-3.131,-3.174
1.333,-1.821,-2.181,-2.431,-2.618,-2.76,-2.871,-2.959,-3.029,-3.084,-3.127
1.667,-1.8,-2.154,-2.399,-2.583,-2.722,-2.831,-2.917,-2.986,-3.041,-3.083
2.0,-1.78,-2.13,-2.371,-2.551,-2.687,-2.794,-2.879,-2.947,-3.001,-3.043
2.333,-1.763,-2.107,-2.344,-2.521,-2.655,-2.76,-2.844,-2.911,-2.964,-3.005
2.667,-1.746,-2.086,-2.32,-2.493,-2.625,-2.729,-2.811,-2.877,-2.929,-2.97
3.0,-1.731,-2.067,-2.297,-2.468,-2.598,-2.699,-2.78,-2.845,-2.897,-2.938
3.333,-1.717,-2.049,-2.276,-2.444,-2.572,-2.672,-2.751,-2.815,-2.866,-2.907
3.667,-1.704,-2.032,-2.256,-2.422,-2.547,-2.646,-2.724,-2.787,-2.838,-2.877
4.0,-1.691,-2.016,-2.237,-2.401,-2.524,-2.621,-2.699,-2.761,-2.81,-2.85
